INDEX,YEAR,MN,DT,RF,week
42933,2016,7,19,5.2,29
42933,2016,7,20,0.4,29
42933,2016,7,21,0.0,29
42933,2016,7,22,0.1,30
42933,2016,7,23,8.1,30
42933,2016,7,24,22.1,30
42933,2016,7,25,37.2,30
42933,2016,7,26,6.7,30
42933,2016,7,27,41.8,30
42933,2016,7,28,66.4,30
42933,2016,7,29,0.0,31
42933,2016,7,30,0.0,31
42933,2016,7,31,0.0,31
42933,2016,8,1,14.4,31
42933,2016,8,2,10.7,31
42933,2016,8,3,33.0,31
42933,2016,8,4,28.9,31
42933,2016,8,5,0.9,32
42933,2016,8,6,0.0,32
42933,2016,8,7,11.3,32
42933,2016,8,8,0.0,32
42933,2016,8,9,0.0,32
42933,2016,8,10,0.1,32
42933,2016,8,11,0.6,32
42933,2016,8,12,3.8,33
42933,2016,8,13,0.9,33
42933,2016,8,14,0.0,33
42933,2016,8,15,0.4,33
42933,2016,8,16,0.0,33
42933,2016,8,17,0.0,33
42933,2016,8,18,0.0,33
42933,2016,8,19,0.0,34
42933,2016,8,20,0.0,34
42933,2016,8,21,1.6,34
42933,2016,8,22,0.0,34
42933,2016,8,23,0.0,34
42933,2016,8,24,19.6,34
42933,2016,8,25,0.0,34
42933,2016,8,26,0.0,35
42933,2016,8,27,0.0,35
42933,2016,8,28,0.6,35
42933,2016,8,29,0.0,35
42933,2016,8,30,0.0,35
42933,2016,8,31,2.0,35
42933,2016,9,1,5.3,35
42933,2016,9,2,0.0,36
42933,2016,9,3,0.0,36
42933,2016,9,4,0.0,36
42933,2016,9,5,2.6,36
42933,2016,9,6,0.0,36
42933,2016,9,7,0.0,36
42933,2016,9,8,0.0,36
42933,2016,9,9,2.6,37
42933,2016,9,10,0.0,37
42933,2016,9,11,0.0,37
42933,2016,9,12,0.0,37
42933,2016,9,13,0.0,37
42933,2016,9,14,3.0,37
42933,2016,9,15,22.6,37
42933,2016,9,16,13.2,38
42933,2016,9,17,25.4,38
42933,2016,9,18,25.8,38
42933,2016,9,19,0.0,38
42933,2016,9,20,0.0,38
42933,2016,9,21,0.0,38
42933,2016,9,22,0.9,38
42933,2016,9,23,1.0,39
42933,2016,9,24,17.6,39
42933,2016,9,25,1.2,39
42933,2016,9,26,0.0,39
42933,2016,9,27,1.0,39
42933,2016,9,28,0.0,39
42933,2016,9,29,0.0,39
42933,2016,9,30,0.0,40
42933,2016,10,1,2.2,40
42933,2016,10,2,19.8,40
42933,2016,10,3,31.7,40
42933,2016,10,4,0.2,40
42933,2016,10,5,16.2,40
42933,2016,10,6,3.4,40
42933,2016,10,7,0.2,41
42933,2016,10,8,0.0,41
42933,2016,10,9,28.8,41
42933,2016,10,10,0.0,41
42933,2016,10,11,0.0,41
42933,2016,10,12,0.0,41
42933,2016,10,13,0.0,41
42933,2016,10,14,0.0,42
42933,2016,10,15,0.0,42
